delivery_area,distance_travelled
gma,80
batangas,201
bulacan,127
cavite,120
baguio,557
laguna,137
pampanga,239
subic-tarlac,457
camaya,455
dagupan,494
mindoro,372
la union,483
zambales,540
tuguegarao,1100
naga,822
tarlac,320
bataan,358
pangasinan,558
cebu,800
legaspi,970
nueva ecija,470
nueva viscaya,685
ilocos,1180
iloilo,1210
tagaytay,170
ilocos sur,1140
bacolod,403
davao,2800
lucena,320
isabela,840
cotabato,2250
sta. rosa,137
gma-t3,80
pampanga-bulacan,195
baguio-tarlac,570
subic,395
san fernando,230
subic-camaya,550
baguio-pampanga,570
