TRIP DATE,Include,NOTES,CLIENT,PICK UP POINT,DELIVERY AREA,Route,WEIGHT (For Billing),CARGO TYPE,REF#,Trip Report,DM Recorded,Complete Docs?,Outlet Count,"BILLING INVOICE
G MOVERS","BILLING INVOICE
JABEZ",OR #,Total Client,Non-Vat Others,Toll,Parking,Others,Others Reason,Total On Us,Fuel,Parking,Permit,9,Violation Reason,Toll RFID,Toll Cash,Others,Others Reason,Total Expenses,Date,Counter,REMARKS,BILLING INVOICE,RATE VAT-EX,GAS STATION,DATE,TIME,LTRS,PER LITER,AMOUNT,FUEL / RATE,SALARIES,TOTAL FUEL,Other Expenses,GI,NET / RATE 45^
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,1,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,2,-,-,,-,,,,,,,0,0,0,0,0
45658,,,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,3,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,4,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,5,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,6,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,7,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,8,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,9,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,10,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,11,-,-,,-,,,,,,,0,0,0,0,0
45658,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,12,-,-,,-,,,,,,,0,0,0,0,0
45658,,,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,13,-,-,,-,,,,,,,0,0,0,0,0
45658,,,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,14,-,-,,-,,,,,,,0,0,0,0,0
45658,,,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,15,-,-,,-,,,,,,,0,0,0,0,0
45659,,-,A,GMA,GMA,LP-LP-AW-WG-BIC,4T,DRY,7227,45660,45678,YES,1,101,-,,0,,,,,,0,,,,,,,,,,0,,16,-,101,5750,-,,,,,,,1350,0,0,4400,0.765217391
45659,,delivered 1/3,A,GMA,PAMPANGA-BULACAN,NLEX-MEGA CALTEX-BOC-DD,4T,DRY,7230,45660,45677,YES,4,101,-,,0,,,,,,0,,,,,,,,,,0,,17,-,101,10800,-,,,,,,,1450,0,0,9350,0.865740741
45659,1,-,A,GMA,BATANGAS,SLEX CALTEX-CALAMBA-LIPA,4T,COMBI,7226|11540,45661,45677,YES,3,101,-,,0,,,,,,0,,,,,,,,,,0,,18,-,101,9800,Petrogem Antipolo,45659,0.936805556,47.77,53.60058614,2560.5,0.26127551,1450,2560.5,0,5789.5,0.590765306
45659,,-,A,GMA,PAMPANGA,VISTA MALL-CLARK-FRIENDSHIP,4T,COMBI,11550|7231,45661,45677,YES,3,101,-,,0,,,,,,186,,,,,,,186,,,186,45663,19,-,101,10500,-,,,,,,,1450,0,186,8864,0.844190476
45659,1,-,A,GMA,PAMPANGA-BULACAN,TRI-NLEX-MEGA CALTEX-BOC-DD,2T,FROZEN,11549,45663,45671,YES,5,95,-,,0,,,,,,0,,,,,,,,,,0,,20,-,95,10600,3K Shell Servicenter,45659,0.896527778,55.71,57.6900018,3213.91,0.303199057,1300,3213.91,0,6086.09,0.574159434
45659,,-,A,GMA,CAVITE,SW-CARMONA-BINAN-NUV-NB,2T,FROZEN,11547,45660,45665,YES,5,95,-,,0,,,,,,0,,,,,,,,,,0,,21,-,95,7800,-,,,,,,,1250,0,0,6550,0.83974359
45659,,SPECIAL TRIP,,GMA,GMA,DELA ROSA 3 - PRIORITY,2T,FROZEN,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,22,-,-,,-,,,,,,,0,0,0,0,0
45659,,-,A,GMA,GMA,UST-UST-GK COM-VIS-VIS,4T,DRY,7225,45660,45692,YES,,134,-,,0,,,,,,0,,,,,,,,,,0,,23,-,134,5750,-,,,,,,,1350,0,0,4400,0.765217391
45659,,-,A,GMA,LAGUNA,SW-CARMONA-BINAN-NUV-NB,4T,DRY,7224,45660,45995,YES,,134,-,,0,,,,,,0,,,,,,,,,,0,,24,-,134,7800,-,,,,,,,1400,0,0,6400,0.820512821
45659,,-,A,GMA,GMA-T3,C5-BBW-SCAPE-T3-T34F,2T,FROZEN,11543,45663,45665,YES,4,95,-,,0,,,,,,0,,,,,,,,,,0,,25,-,95,6500,-,,,,,,,1200,0,0,5300,0.815384615
45659,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,26,-,-,,-,,,,,,,0,0,0,0,0
45659,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,27,-,-,,-,,,,,,,0,0,0,0,0
45659,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,28,-,-,,-,,,,,,,0,0,0,0,0
45659,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,29,-,-,,-,,,,,,,0,0,0,0,0
45659,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,30,-,-,,-,,,,,,,0,0,0,0,0
45659,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,31,-,-,,-,,,,,,,0,0,0,0,0
45659,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,32,-,-,,-,,,,,,,0,0,0,0,0
